genre_id,tmdb_id
10751,926
878,926
18,11324
53,11324
9648,11324
9648,15
18,15
27,16871
53,16871
12,87
28,87
14,9495
28,9495
53,9495
12,954
28,954
53,954
18,339692
80,339692
53,339692
18,60308
35,2064
18,2064
10749,2064
28,54138
12,54138
878,54138
28,607
12,607
35,607
878,607
27,167032
53,167032
28,9362
27,9362
12,387426
18,387426
14,387426
878,387426
12,12230
16,12230
35,12230
10751,12230
35,5966
10749,5966
28,787
35,787
18,787
53,787
80,5924
18,5924
35,37136
80,37136
12,956
28,956
53,956
10751,116149
35,116149
28,10528
12,10528
80,10528
9648,10528
18,9044
12,4442
14,4442
28,4442
35,4442
53,4442
35,257211
35,6282
18,6282
10402,6282
10749,6282
12,1893
28,1893
878,1893
28,1654
12,1654
10752,1654
35,75
14,75
878,75
28,343611
18,405775
53,405775
10752,405775
37,335
16,13053
10751,13053
12,13053
35,13053
878,8078
27,8078
28,8078
80,6977
18,6977
53,6977
18,409
10749,409
10752,409
27,287903
35,287903
14,287903
35,31586
18,31586
10751,31586
14,31586
878,31586
18,866
27,30497
35,16985
36,31908
18,31908
28,1924
12,1924
14,1924
878,1924
35,19494
9648,77
53,77
12,10386
16,10386
10751,10386
14,10386
878,10386
28,11866
12,11866
18,11866
53,11866
18,769
80,769
12,5915
18,5915
18,1927
28,1927
878,1927
80,845
18,845
53,845
18,15764
10749,15764
12,18360
14,18360
28,18360
35,18360
10751,18360
35,100042
16,9297
35,9297
10751,9297
14,9297
27,215
18,64690
28,64690
53,64690
80,64690
12,652
18,652
10752,652
10770,360606
35,360606
12,605
28,605
53,605
878,605
878,13475
28,13475
12,13475
27,24038
18,9445
53,9445
28,341006
27,341006
53,341006
27,755
28,755
53,755
80,755
80,3093
9648,3093
53,3093
53,437
878,437
9648,437
99,10946
12,68737
14,68737
53,150
28,150
35,150
80,150
18,150
18,9950
18,23830
10749,23830
14,13192
10402,13192
18,10731
53,10731
80,10731
9648,10731
12,339964
878,339964
28,339964
28,647
12,647
16,647
14,647
10749,11036
18,11036
28,11893
53,11893
18,143
10752,143
878,68724
28,68724
18,68724
53,68724
28,9361
12,9361
18,9361
36,9361
10749,9361
10752,9361
35,30502
10751,30502
18,11249
27,11249
35,11249
35,58224
10751,58224
80,235
18,235
28,6520
12,6520
18,6520
10749,6520
28,9433
12,9433
18,9433
35,10937
18,10937
10749,10937
80,353070
35,353070
18,353070
12,2493
10751,2493
14,2493
35,2493
